_id,Date,HB,HealthcareCdiffInfection,HealthcareCdiffInfectionQF,HealthcareEcoliBacteraemia,HealthcareEcoliBacteraemiaQF,HealthcareSaureusBacteraemia,HealthcareSaureusBacteraemiaQF,HealthcareTotalOccupiedBedDays,HealthcareTotalOccupiedBedDaysQF,CommunityCdiffInfection,CommunityCdiffInfectionQF,CommunityEcoliBacteraemia,CommunityEcoliBacteraemiaQF,CommunitySaureusBacteraemia,CommunitySaureusBacteraemiaQF,CommunityAnnualisedPopulation,CommunityAnnualisedPopulationQF,HipArthroplastySSI,HipArthroplastySSIQF,HipArthroplastyProcedures,HipArthroplastyProceduresQF,CsectionSSI,CsectionSSIQF,CsectionProcedures,CsectionProceduresQF
66,2018Q1,S08000022,13,"",15,"",5,"",75230,"",15,"",35,"",12,"",79347.94521,"",0,"",55,"",7,"",184,""
67,2018Q1,S08000024,42,"",75,"",40,"",258580,"",12,"",65,"",24,"",221367.9452,"",5,"",206,"",12,"",679,""
68,2018Q1,S08000025,0,"",1,"",0,"",3683,"",1,"",1,"",0,"",5471.506849,"",0,"",0,"",1,"",3,""
69,2018Q1,S08000026,1,"",2,"",2,"",2410,"",0,"",0,"",1,"",5668.767123,"",0,"",0,"",0,"",7,""
70,2018Q1,S08000028,0,"",3,"",2,"",8190,"",1,"",6,"",1,"",6615.616438,"",0,"",16,"",0,"",12,""
71,2018Q1,S08000029,6,"",35,"",16,"",91836,"",2,"",29,"",13,"",91703.83562,"",1,"",113,"",7,"",209,""
72,2018Q1,S08000030,12,"",43,"",17,"",124965,"",4,"",38,"",13,"",102595.0685,"",2,"",173,"",7,"",279,""
73,2018Q1,S08000031,64,"",147,"",96,"",435205,"",17,"",129,"",18,"",289721.0959,"",2,"",338,"",10,"",1255,""
74,2018Q1,S08000032,19,"",39,"",30,"",143873,"",10,"",104,"",13,"",162542.4658,"",0,"",98,"",3,"",276,""
75,2018Q1,SB0801,2,"",2,"",4,"",11871,"",,z,,z,,z,,z,1,"",449,"",,z,,z
76,2018Q2,S08000015,10,"",64,"",16,"",115914,"",9,"",51,"",9,"",92164.30137,"",0,"",133,"",2,"",302,""
77,2018Q2,S08000016,3,"",12,"",6,"",31525,"",1,"",24,"",3,"",28738.54795,"",0,"",74,"",0,"",71,""
78,2018Q2,S08000017,7,"",16,"",4,"",42410,"",5,"",19,"",5,"",37095.58904,"",0,"",45,"",2,"",78,""
79,2018Q2,S08000019,9,"",38,"",8,"",83252,"",2,"",48,"",13,"",76307.86301,"",0,"",48,"",4,"",255,""
80,2018Q2,S08000020,43,"",39,"",27,"",136123,"",33,"",50,"",9,"",145737.1233,"",1,"",296,"",6,"",498,""
81,2018Q2,S08000022,22,"",13,"",14,"",73332,"",7,"",42,"",10,"",80229.58904,"",0,"",102,"",2,"",154,""
82,2018Q2,S08000024,27,"",90,"",35,"",255469,"",12,"",73,"",21,"",223827.589,"",2,"",297,"",11,"",701,""
83,2018Q2,S08000025,0,"",1,"",1,"",3487,"",1,"",2,"",0,"",5532.30137,"",0,"",0,"",0,"",10,""
84,2018Q2,S08000026,0,"",4,"",2,"",2417,"",1,"",3,"",0,"",5731.753425,"",0,"",0,"",0,"",10,""
85,2018Q2,S08000028,0,"",3,"",0,"",7527,"",0,"",6,"",0,"",6689.123288,"",0,"",15,"",0,"",21,""
86,2018Q2,S08000029,4,"",43,"",24,"",87527,"",8,"",31,"",6,"",92722.76712,"",0,"",143,"",7,"",223,""
87,2018Q2,S08000030,5,"",54,"",12,"",117886,"",4,"",35,"",18,"",103735.0137,"",1,"",151,"",8,"",268,""
88,2018Q2,S08000031,86,"",150,"",89,"",417159,"",11,"",138,"",16,"",292940.2192,"",12,"",381,"",15,"",1259,""
89,2018Q2,S08000032,27,"",51,"",25,"",136851,"",8,"",76,"",13,"",164348.4932,"",1,"",107,"",4,"",341,""
90,2018Q2,SB0801,1,"",2,"",1,"",12349,"",,z,,z,,z,,z,1,"",478,"",,z,,z
91,2018Q3,S08000015,17,"",49,"",18,"",110109,"",10,"",67,"",17,"",93177.09589,"",2,"",99,"",0,"",294,""
92,2018Q3,S08000016,4,"",10,"",9,"",32651,"",2,"",17,"",3,"",29054.35616,"",0,"",74,"",0,"",60,""
93,2018Q3,S08000017,13,"",18,"",3,"",43012,"",3,"",19,"",4,"",37503.23288,"",1,"",38,"",0,"",64,""
94,2018Q3,S08000019,10,"",40,"",20,"",82126,"",5,"",40,"",6,"",77146.41096,"",0,"",58,"",6,"",228,""
95,2018Q3,S08000020,26,"",38,"",25,"",134241,"",19,"",57,"",15,"",147338.6301,"",1,"",274,"",3,"",493,""
96,2018Q3,S08000022,10,"",25,"",10,"",73340,"",6,"",43,"",9,"",81111.23288,"",1,"",121,"",5,"",185,""
97,2018Q3,S08000024,36,"",84,"",35,"",252485,"",16,"",77,"",18,"",226287.2329,"",2,"",263,"",12,"",667,""
98,2018Q3,S08000025,3,"",3,"",0,"",3756,"",1,"",1,"",0,"",5593.09589,"",0,"",0,"",0,"",2,""
99,2018Q3,S08000026,0,"",2,"",1,"",2446,"",1,"",0,"",0,"",5794.739726,"",0,"",0,"",0,"",8,""
100,2018Q3,S08000028,0,"",7,"",1,"",7123,"",1,"",3,"",1,"",6762.630137,"",0,"",11,"",0,"",19,""
101,2018Q3,S08000029,7,"",36,"",23,"",89303,"",5,"",39,"",8,"",93741.69863,"",1,"",135,"",5,"",220,""
102,2018Q3,S08000030,6,"",42,"",19,"",114636,"",3,"",53,"",15,"",104874.9589,"",1,"",142,"",6,"",279,""
103,2018Q3,S08000031,100,"",180,"",67,"",412912,"",14,"",151,"",23,"",296159.3425,"",3,"",346,"",18,"",1394,""
104,2018Q3,S08000032,23,"",70,"",21,"",138817,"",6,"",100,"",13,"",166154.5205,"",0,"",105,"",11,"",380,""
105,2018Q3,SB0801,0,"",2,"",1,"",12390,"",,z,,z,,z,,z,1,"",489,"",,z,,z
106,2018Q4,S08000015,21,"",40,"",17,"",110740,"",5,"",49,"",7,"",93177.09589,"",0,"",143,"",4,"",294,""
107,2018Q4,S08000016,0,"",11,"",4,"",31191,"",1,"",11,"",3,"",29054.35616,"",1,"",87,"",0,"",67,""
108,2018Q4,S08000017,12,"",15,"",5,"",43800,"",0,"",23,"",3,"",37503.23288,"",0,"",51,"",1,"",83,""
109,2018Q4,S08000019,15,"",29,"",17,"",84592,"",2,"",37,"",4,"",77146.41096,"",0,"",64,"",5,"",253,""
110,2018Q4,S08000020,11,"",49,"",26,"",131734,"",12,"",51,"",13,"",147338.6301,"",3,"",288,"",7,"",462,""
111,2018Q4,S08000022,11,"",11,"",14,"",72346,"",7,"",26,"",3,"",81111.23288,"",0,"",86,"",2,"",167,""
112,2018Q4,S08000024,36,"",96,"",35,"",254499,"",15,"",71,"",24,"",226287.2329,"",1,"",264,"",8,"",705,""
113,2018Q4,S08000025,1,"",0,"",1,"",3843,"",1,"",3,"",1,"",5593.09589,"",0,"",0,"",0,"",13,""
114,2018Q4,S08000026,0,"",2,"",1,"",2501,"",0,"",1,"",0,"",5794.739726,"",0,"",0,"",0,"",5,""
115,2018Q4,S08000028,1,"",3,"",0,"",6753,"",0,"",5,"",2,"",6762.630137,"",0,"",12,"",0,"",8,""
116,2018Q4,S08000029,11,"",45,"",16,"",91463,"",7,"",46,"",12,"",93741.69863,"",1,"",144,"",4,"",238,""
117,2018Q4,S08000030,9,"",56,"",17,"",115115,"",3,"",42,"",11,"",104874.9589,"",5,"",156,"",5,"",299,""
118,2018Q4,S08000031,67,"",152,"",88,"",417273,"",22,"",150,"",16,"",296159.3425,"",3,"",378,"",16,"",1365,""
119,2018Q4,S08000032,25,"",72,"",24,"",142634,"",11,"",88,"",14,"",166154.5205,"",2,"",130,"",7,"",387,""
120,2018Q4,SB0801,0,"",1,"",4,"",11765,"",,z,,z,,z,,z,0,"",473,"",,z,,z
121,2019Q1,S08000015,17,"",52,"",11,"",111660,"",1,"",43,"",11,"",91075.06849,"",0,"",147,"",3,"",255,""
122,2019Q1,S08000016,6,"",9,"",3,"",29390,"",1,"",16,"",3,"",28481.91781,"",1,"",61,"",0,"",68,""
123,2019Q1,S08000017,3,"",11,"",4,"",46147,"",1,"",18,"",6,"",36705.20548,"",1,"",28,"",0,"",72,""
124,2019Q1,S08000019,5,"",28,"",10,"",80825,"",3,"",38,"",6,"",75609.86301,"",0,"",65,"",7,"",203,""
125,2019Q1,S08000020,19,"",56,"",19,"",132257,"",6,"",56,"",10,"",144419.1781,"",0,"",299,"",9,"",456,""
126,2019Q1,S08000022,8,"",18,"",12,"",75357,"",4,"",43,"",10,"",79323.28767,"",0,"",69,"",5,"",159,""
127,2019Q1,S08000024,34,"",86,"",33,"",251904,"",8,"",78,"",23,"",223786.8493,"",2,"",241,"",10,"",686,""
128,2019Q1,S08000025,0,"",1,"",0,"",3829,"",0,"",6,"",0,"",5491.232877,"",0,"",0,"",0,"",4,""
129,2019Q1,S08000026,0,"",1,"",1,"",2511,"",0,"",1,"",2,"",5651.506849,"",0,"",0,"",0,"",6,""
130,2019Q1,S08000028,0,"",1,"",0,"",6871,"",0,"",5,"",2,"",6588.493151,"",0,"",16,"",0,"",15,""
131,2019Q1,S08000029,6,"",36,"",13,"",91885,"",5,"",25,"",11,"",92108.21918,"",0,"",151,"",12,"",185,""
132,2019Q1,S08000030,6,"",56,"",20,"",119250,"",2,"",38,"",13,"",102937.8082,"",2,"",174,"",2,"",269,""
133,2019Q1,S08000031,62,"",156,"",80,"",427318,"",15,"",151,"",31,"",291728.2192,"",2,"",391,"",9,"",1306,""
134,2019Q1,S08000032,20,"",59,"",31,"",145876,"",4,"",80,"",16,"",163208.2192,"",0,"",109,"",7,"",367,""
135,2019Q1,SB0801,0,"",3,"",3,"",11654,"",,z,,z,,z,,z,0,"",395,"",,z,,z
136,2019Q2,S08000015,15,"",46,"",18,"",109780,"",8,"",57,"",15,"",92087.0137,"",0,"",158,"",2,"",279,""
137,2019Q2,S08000016,4,"",15,"",2,"",29746,"",0,"",19,"",3,"",28798.38356,"",2,"",97,"",0,"",74,""
138,2019Q2,S08000017,6,"",15,"",3,"",45667,"",4,"",20,"",6,"",37113.0411,"",0,"",45,"",0,"",81,""
139,2019Q2,S08000019,11,"",39,"",14,"",73737,"",0,"",41,"",9,"",76449.9726,"",0,"",71,"",2,"",222,""
140,2019Q2,S08000020,10,"",52,"",26,"",131370,"",6,"",49,"",12,"",146023.8356,"",1,"",308,"",8,"",472,""
141,2019Q2,S08000022,6,"",19,"",10,"",74804,"",5,"",41,"",6,"",80204.65753,"",0,"",120,"",1,"",182,""
142,2019Q2,S08000024,30,"",82,"",25,"",244255,"",11,"",69,"",31,"",226273.3699,"",0,"",231,"",13,"",693,""
143,2019Q2,S08000025,0,"",2,"",2,"",3479,"",0,"",5,"",1,"",5552.246575,"",0,"",0,"",1,"",8,""
144,2019Q2,S08000026,1,"",3,"",1,"",2542,"",0,"",3,"",2,"",5714.30137,"",0,"",0,"",0,"",8,""
145,2019Q2,S08000028,1,"",2,"",2,"",7013,"",1,"",6,"",0,"",6661.69863,"",0,"",8,"",0,"",16,""
146,2019Q2,S08000029,6,"",37,"",12,"",87857,"",3,"",33,"",9,"",93131.64384,"",1,"",130,"",4,"",204,""
147,2019Q2,S08000030,6,"",41,"",22,"",113495,"",3,"",47,"",10,"",104081.5616,"",1,"",161,"",2,"",284,""
148,2019Q2,S08000031,71,"",164,"",84,"",419871,"",12,"",134,"",18,"",294969.6438,"",0,"",397,"",4,"",1219,""
149,2019Q2,S08000032,17,"",64,"",27,"",145187,"",13,"",80,"",11,"",165021.6438,"",1,"",107,"",6,"",376,""
150,2019Q2,SB0801,0,"",3,"",3,"",11897,"",,z,,z,,z,,z,4,"",424,"",,z,,z
151,2019Q3,S08000015,21,"",50,"",22,"",110670,"",7,"",55,"",8,"",93098.9589,"",0,"",129,"",5,"",303,""
152,2019Q3,S08000016,4,"",8,"",0,"",28962,"",0,"",24,"",2,"",29114.84932,"",1,"",74,"",1,"",57,""
153,2019Q3,S08000017,7,"",12,"",4,"",46074,"",5,"",29,"",3,"",37520.87671,"",0,"",49,"",1,"",86,""
154,2019Q3,S08000019,14,"",38,"",15,"",77669,"",2,"",40,"",10,"",77290.08219,"",0,"",67,"",2,"",219,""
155,2019Q3,S08000020,11,"",74,"",21,"",131950,"",5,"",50,"",6,"",147628.4932,"",2,"",268,"",10,"",463,""
156,2019Q3,S08000022,15,"",17,"",10,"",75715,"",5,"",26,"",10,"",81086.0274,"",2,"",105,"",4,"",216,""
157,2019Q3,S08000024,25,"",85,"",25,"",245501,"",18,"",62,"",15,"",228759.8904,"",1,"",241,"",12,"",718,""
158,2019Q3,S08000025,1,"",4,"",1,"",2983,"",0,"",2,"",0,"",5613.260274,"",0,"",0,"",0,"",8,""
159,2019Q3,S08000026,2,"",2,"",0,"",2694,"",0,"",2,"",0,"",5777.09589,"",0,"",0,"",0,"",10,""
160,2019Q3,S08000028,2,"",3,"",5,"",6702,"",0,"",5,"",0,"",6734.90411,"",0,"",21,"",0,"",16,""
161,2019Q3,S08000029,8,"",28,"",14,"",90276,"",3,"",40,"",11,"",94155.06849,"",2,"",142,"",6,"",236,""
162,2019Q3,S08000030,10,"",47,"",22,"",115796,"",4,"",51,"",8,"",105225.3151,"",1,"",145,"",3,"",311,""
163,2019Q3,S08000031,62,"",172,"",93,"",416741,"",15,"",132,"",17,"",298211.0685,"",4,"",348,"",3,"",1367,""
